Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr
CCDC189,0.16141871841772726,0.011228431070237367,0.04772083204850881,True,0.16141871841772726
VANGL2,0.16134617031682488,0.01126550427879144,0.04779308070729071,True,0.16134617031682488
EFNA5,-0.16133206374164943,0.011272725489498037,0.04779308070729071,True,0.16133206374164943
HSPB11,0.16124903647061672,0.011315310304298616,0.04791561872509523,True,0.16124903647061672
TPP2,-0.16119099798989484,0.011345162566000593,0.04798400882383343,True,0.16119099798989484
USP31,-0.16113578082420804,0.011373628159160357,0.04804637613194158,True,0.16113578082420804
FBXO32,-0.16109426718869171,0.011395070776558618,0.048078961276516,True,0.16109426718869171
PNCK,0.16097899631725796,0.011454797588378645,0.04827280524007463,True,0.16097899631725796
ANK1,-0.16084034883553347,0.011527002532985782,0.04851870537321659,True,0.16084034883553347
LGALS9C,0.1606501115931673,0.011626727580188241,0.04887971186773016,True,0.1606501115931673
CPXM2,-0.16060537359761085,0.011650290067248806,0.04892004294425098,True,0.16060537359761085
CMTM8,0.16050501539136258,0.011703299673226517,0.04908377898878954,True,0.16050501539136258
FIGNL2,0.1604163454902597,0.011750312287398127,0.04922184351801599,True,0.1604163454902597
OTUD6B-AS1,-0.16037201053970826,0.011773880962468054,0.04922184351801599,True,0.16037201053970826
TIFA,-0.160363546594603,0.011778385170787378,0.04922184351801599,True,0.160363546594603
COG2,-0.16031235987896633,0.011805657288748264,0.04922968633887143,True,0.16031235987896633
GASAL1,0.16029140153870564,0.011816839875487947,0.04922968633887143,True,0.16029140153870564
EFR3A,-0.16028092236857533,0.011822434669043654,0.04922968633887143,True,0.16028092236857533
TNFRSF14,0.1600947155762593,0.011922239907797156,0.049550751524846164,True,0.1600947155762593
NT5M,-0.16006005370582813,0.011940900117324894,0.049550751524846164,True,0.16006005370582813
GNAQ,0.16005803848080308,0.011941985804388967,0.049550751524846164,True,0.16005803848080308
TUSC3,0.16000362740512633,0.011971332251863222,0.04958933079869932,True,0.16000362740512633
RFPL3,-0.15998831169493583,0.01197960418495135,0.04958933079869932,True,0.15998831169493583
NAA10,0.159901253973853,0.01202671933016566,0.049606826884246044,True,0.159901253973853
GGTA1P,0.15988835653369257,0.012033713217413776,0.049606826884246044,True,0.15988835653369257
HLTF,-0.15988069867859736,0.012037867533011688,0.049606826884246044,True,0.15988069867859736
RAB27B,0.1598758621385372,0.012040491962195641,0.049606826884246044,True,0.1598758621385372
NUDT22,-0.1598238693328905,0.012068736425018014,0.049614581486245514,True,0.1598238693328905
DDX54,0.15982024192784539,0.012070709145140256,0.049614581486245514,True,0.15982024192784539
PCNX2,-0.1596263772804341,0.012176554185431185,0.049990964545580316,True,0.1596263772804341
LOC100506124,-0.15949538765380483,0.01224853302288897,0.05022759092055875,False,0.15949538765380483
TIGD3,-0.1594200182378674,0.01229011811750437,0.05033556961545402,False,0.1594200182378674
PTGER4,0.15937044370225079,0.01231753860535989,0.05033556961545402,False,0.15937044370225079
ELL3,0.15936963761224074,0.012317984911605967,0.05033556961545402,False,0.15936963761224074
NIPAL2,-0.1592604124158822,0.012378591226595542,0.05052427328151234,False,0.1592604124158822
CMSS1,0.15919390999005506,0.012415620177842203,0.05054821739182825,False,0.15919390999005506
PSD3,0.15919068563001496,0.01241741799650862,0.05054821739182825,False,0.15919068563001496
DPYSL3,0.15917214555978434,0.01242775990130329,0.05054821739182825,False,0.15917214555978434
SYN2,0.15907702693860126,0.012480937679916329,0.050696346024018915,False,0.15907702693860126
FAM131B,-0.15905042596827038,0.012495845219489312,0.050696346024018915,False,0.15905042596827038
CDH4,0.15901415191781923,0.012516198935065857,0.050696346024018915,False,0.15901415191781923
