Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr,AB_P
FKBP1B,0.2637889253310086,2.7802041138562845e-05,0.0034772410024016,True,0.2637889253310086,0.006
HERPUD1,-0.2622472781868336,3.108448352553639e-05,0.003612339904293,True,0.2622472781868336,0.003
JPH3,0.2622194680814877,3.114692758105522e-05,0.003612339904293,True,0.2622194680814877,0.0015
NRG1,-0.2617273501303667,3.227170362968676e-05,0.003612339904293,True,0.2617273501303667,0.006
LARGE1,0.2610478162519147,3.388800003048897e-05,0.003612339904293,True,0.2610478162519147,0.0115
RSRC1,-0.2607777760985559,3.4551274048247266e-05,0.003612339904293,True,0.2607777760985559,0.0015
PLCB4,-0.2604480852844553,3.537767713290295e-05,0.003612339904293,True,0.2604480852844553,0.0055
UCHL3,0.260164744645931,3.610276888927952e-05,0.003612339904293,True,0.260164744645931,0.0025
LAPTM4B,-0.2575465642933661,4.349948002202681e-05,0.0042315327510316,True,0.2575465642933661,0.0185
CCDC148,0.2568323685444829,4.575257132117337e-05,0.0043304190477499,True,0.2568323685444829,0.0015
ARHGAP4,0.2559158442030832,4.880529670120471e-05,0.0044977933959899,True,0.2559158442030832,0.001
RET,-0.2554035740017115,5.059413226616997e-05,0.0045430936204135,True,0.2554035740017115,0.0025
ERMP1,-0.2532726750602074,5.871922509062526e-05,0.005082861692599,True,0.2532726750602074,0.002
TNIK,0.2530808256378212,5.950808949073675e-05,0.005082861692599,True,0.2530808256378212,0.0005
ZNF630,-0.2521663165214465,6.340746702170868e-05,0.0051121739240865,True,0.2521663165214465,0.0075
ANKRD19P,0.2517007995406565,6.548351265323267e-05,0.0051121739240865,True,0.2517007995406565,0.01
TGM1,-0.251596410884358,6.595774496222176e-05,0.0051121739240865,True,0.251596410884358,0.0005
HEXIM1,-0.2514581664476386,6.659075509002002e-05,0.0051121739240865,True,0.2514581664476386,0.0025
MAP2K3,-0.2512018298244502,6.777964643691065e-05,0.0051121739240865,True,0.2512018298244502,0.0005
MMD,0.2510252961122545,6.860998698802653e-05,0.0051121739240865,True,0.2510252961122545,0.005
MAP1LC3B,-0.2504114585696196,7.157228057884356e-05,0.0051223211929417,True,0.2504114585696196,0.002
FOXP2,-0.2503913063193689,7.167154153459353e-05,0.0051223211929417,True,0.2503913063193689,0.0125
LRRC56,0.2499568238039648,7.384334061588022e-05,0.0051719875767362,True,0.2499568238039648,0.006
THAP10,-0.2491636312340991,7.796858769614104e-05,0.0053273174769877,True,0.2491636312340991,0.0025
EIF5A2,-0.2487384187538103,8.02682400810539e-05,0.0053273174769877,True,0.2487384187538103,0.002
SLC38A2,-0.2486735285080032,8.062473623082548e-05,0.0053273174769877,True,0.2486735285080032,0.0005
ADGRV1,0.2478182670073654,8.546456240432233e-05,0.0055425351396284,True,0.2478182670073654,0.001
FAM149A,0.2470774702881513,8.987584630370553e-05,0.0057079008038411,True,0.2470774702881513,0.003
GAS2,-0.246849749860319,9.127425614366178e-05,0.0057079008038411,True,0.246849749860319,0.0075
AR,-0.2464128490748848,9.401458908555267e-05,0.0057761244031158,True,0.2464128490748848,0.003
SLC4A11,0.2458772022632225,9.747965464455236e-05,0.0058338725496954,True,0.2458772022632225,0.0025
FLT3,-0.2457550796267035,9.828625940377888e-05,0.0058338725496954,True,0.2457550796267035,0.007
TBCE,-0.2450235529426047,0.0001032505175318,0.006022457457774,True,0.2450235529426047,0.003
ADAM23,-0.2447873685696671,0.0001049028854723,0.006022457457774,True,0.2447873685696671,0.0015
RNF113A,-0.2442533339380248,0.0001087309200673,0.0060573000696609,True,0.2442533339380248,0.003
VWC2,-0.2442206872926187,0.0001089691331777,0.0060573000696609,True,0.2442206872926187,0.0165
PCGF1,-0.2434931910585701,0.0001144061239785,0.006087045140303,True,0.2434931910585701,0.001
IL17RD,0.243336003506615,0.0001156138099736,0.006087045140303,True,0.243336003506615,0.0
PPP3CC,-0.2432699041257928,0.0001161252175737,0.006087045140303,True,0.2432699041257928,0.0025
PLCD4,-0.2432271813552615,0.0001164568887493,0.006087045140303,True,0.2432271813552615,0.0045
TAC1,0.2428833839659853,0.0001191584053245,0.0061366578742138,True,0.2428833839659853,0.039
TOX2,-0.2424227035252554,0.0001228705172261,0.00623612393226,True,0.2424227035252554,0.0075
XYLT1,0.2419104333238837,0.0001271254364352,0.006320072649482,True,0.2419104333238837,0.0045
IDNK,0.2414457224331037,0.0001311043489237,0.006320072649482,True,0.2414457224331037,0.002
NUB1,-0.2413433490018304,0.0001319964195866,0.006320072649482,True,0.2413433490018304,0.0045
PHACTR3,0.2412889379261536,0.0001324728619219,0.006320072649482,True,0.2412889379261536,0.0005
EPN3,-0.2411668152896346,0.0001335480799719,0.006320072649482,True,0.2411668152896346,0.0135
RPL12,0.2408334970704888,0.0001365244877259,0.006333936422226,True,0.2408334970704888,0.0
ZSCAN9,-0.2407303175492055,0.0001374583575354,0.006333936422226,True,0.2407303175492055,0.0235
PLAC9,0.239360770622171,0.0001504341989659,0.0068286352530493,True,0.239360770622171,0.002
TBC1D26,0.238280206963731,0.0001614715647258,0.0068286352530493,True,0.238280206963731,0.0115
SLC16A6,-0.2381669513173223,0.0001626712539447,0.0068286352530493,True,0.2381669513173223,0.003
